Articulo,Sum of Ganancia,Sum of Importe,Sum of Importe USD,Sum of Cantidad,Sum of Hormas
QU5061 - Queso Magro Deslactosado hebras  COLONIAL  bolsa 0.5 kg,16072.847999999998,26144.450752726538,684.9313241205292,102,0
QU5052 - Queso Magro sin sal  TIENDA INGLESA  Barra 2.8 kg,7328.539,22023.694000000003,584.68,87.94,27
QU3262 - Queso Dambo Deslactosado COLONIAL  Fraccion 0.45 kg,5816.781999999999,13701.93724654494,360.05193351054135,43.96,124
YG5081 - YoGreen sabor Durazno Alimento Cremoso base Vegetal  Pote Plastico 0.180 kg,4109.486000000001,11041.631854450397,290.682566114223,323,0
QU3258 - Queso Magro Deslactosado sin sal  COLONIAL  Fraccion 0.45 kg,3015.761,7315.607963297092,191.51879327434492,21.467999999999996,62
 - 26 BOLSONES,0,2554.228,67.213,0,0
 - 15 BOLSONES,0,1475.322,38.49,0,0
 - Cancela descuentos aplicados por error a nc envases,0,674.326,17.672426209131665,0,0
QU5060 - Queso Muzarella y Provolone hebras  COLONIAL  bolsa 0.5 kg,93.99499999999996,672.318131120973,17.59500344216398,5,0
1476 - FIBRAS COMUNES DULCE 0.98x1.22x5 MM,-27.58099999999999,0.03200000000003911,0.0009388692309677538,0,0
2922 - ETIQUETA SANDWICHERO PUERTO DEL SAUCE ILUSTRACION,-1596.116,0,0,2000,2
YG1306 - Yogur Bajo Peso,-0.115,0,0,116,0
DL3231 - Promo Dulce COLONIAL Pote 1kg + Pote 250grs,-61.152,-128.1780292752515,-3.421800781523004,-1,0
QU3260 - Queso Magro Deslactosado COLONIAL  Fraccion 0.45 kg,-221.47199999999998,-472.15120550923837,-12.552000144508561,-1.4,-4
QU49 - Queso Dambo   COLONIAL  Barra 3.2 kg,-786.693,-786.693,-21.004,0,0
 - Descuento,0,-3685.263000000001,-97.249,0,0
 - Aporte 30% ofertas del mes,0,-7656,-202.219,0,0
1383 - PALLETS GRANJA,-2362.782000000004,-8770.017483677657,-230.7001127612206,-10,0
 - Salario vendedor mayo 23,0,-24728,-653.143,0,0
 - Salario vendedor junio 23,0,-25582,-675.7,0,0
 - Aporte 50% ofertas del mes,0,-26735,-706.154,0,0
 - Aporte 100% ofertas del mes,0,-50912,-1344.744,0,0
 - QUITA POR ACUERDO,0,-65964.07,-1751.382,0,0
 - RETORNO 2% JUNIO 23 - DISTRIBUIDORA GARZÓN.,0,-89713,-2360.743930525761,0,0
 - 1.5% no devolución JUNIO 23,0,-124692.63,-3281.2129999999997,0,0
84 - CAJONES PLASTICOS LISOS,-77093.25399999971,-159658.01751631754,-4216.695130155331,-451,0
